sku,_store,_attribute_set,_type,categories,name,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_0644939990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具/,德国 WMF Saucenpfännschen 12cm,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        Kochen    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-pfanne.jpg'>",No,,,0,,,,,Saucenpfännschen 12cm,Saucenpfännschen 12cm,Saucenpfännschen 12cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,14.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,Saucenpfnnschen 12cm,Saucenpfnnschen 12cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0732206041,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具/,德国 WMF Servierpfanne Ø 20 cm Profi,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        Kochen    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-pfanne.jpg'>",No,,,0,,,,,Servierpfanne Ø 20 cm Profi,Servierpfanne Ø 20 cm Profi,Servierpfanne Ø 20 cm Profi - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,59.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,Servierpfanne  20 cm Profi,Servierpfanne  20 cm Profi.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0570014291,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具/,德国 WMF Grillpfanne 27x27 cm Devil,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        Kochen    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-pfanne.jpg'>",No,,,0,,,,,Grillpfanne 27x27 cm Devil,Grillpfanne 27x27 cm Devil,Grillpfanne 27x27 cm Devil - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,59.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,Grillpfanne 27x27 cm Devil,Grillpfanne 27x27 cm Devil.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0732246041,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具/,德国 WMF Servierpfanne 24 cm,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        Kochen    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-pfanne.jpg'>",No,,,0,,,,,Servierpfanne 24 cm,Servierpfanne 24 cm,Servierpfanne 24 cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,64.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,Servierpfanne 24 cm,Servierpfanne 24 cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0732286041,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具/,德国 WMF Servierpfanne 28 cm,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        Kochen    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-pfanne.jpg'>",No,,,0,,,,,Servierpfanne 28 cm,Servierpfanne 28 cm,Servierpfanne 28 cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,69.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,Servierpfanne 28 cm,Servierpfanne 28 cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0745206021,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具/,德国 WMF Servierpfanne Comfort 20cm Ceradur schwarz,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        Kochen    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-pfanne.jpg'>",No,,,0,,,,,Servierpfanne Comfort 20cm Ceradur schwarz,Servierpfanne Comfort 20cm Ceradur schwarz,Servierpfanne Comfort 20cm Ceradur schwarz - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,79.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,Servierpfanne Comfort 20cm Ceradur schwarz,Servierpfanne Comfort 20cm Ceradur schwarz.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0568244171,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具/,德国 WMF Sevierpfanne TopTec 24cm,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        Kochen    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-pfanne.jpg'>",No,,,0,,,,,Sevierpfanne TopTec 24cm,Sevierpfanne TopTec 24cm,Sevierpfanne TopTec 24cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,89.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,Sevierpfanne TopTec 24cm,Sevierpfanne TopTec 24cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0728246031,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具/,德国 WMF Pfanne GOURMET PLUS 24cm,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        Kochen    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-pfanne.jpg'>",No,,,0,,,,,Pfanne GOURMET PLUS 24cm,Pfanne GOURMET PLUS 24cm,Pfanne GOURMET PLUS 24cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,99.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,Pfanne GOURMET PLUS 24cm,Pfanne GOURMET PLUS 24cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1756246411,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具/,德国 WMF Pfanne 24cm Profi Resist,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-pfanne.jpg'>",No,,,0,,,,,Pfanne 24cm Profi Resist,Pfanne 24cm Profi Resist,Pfanne 24cm Profi Resist - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,99.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,Pfanne 24cm Profi Resist,Pfanne 24cm Profi Resist.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0745286021,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具/,德国 WMF Servierpfanne comfort 28cm Ceradur Schw.,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        Kochen    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-pfanne.jpg'>",No,,,0,,,,,Servierpfanne comfort 28cm Ceradur Schw.,Servierpfanne comfort 28cm Ceradur Schw.,Servierpfanne comfort 28cm Ceradur Schw. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,99.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,Servierpfanne comfort 28cm Ceradur Schw.,Servierpfanne comfort 28cm Ceradur Schw..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
